algo,serie,taille,temps
conv,1,1024,1.509522
conv,2,1024,1.489231
conv,3,1024,1.511577
conv,4,1024,1.562849
conv,1,32,0.000034
conv,2,32,0.000032
conv,3,32,0.000034
conv,4,32,0.000031
conv,5,32,0.000034
conv,1,32,0.000031
conv,2,32,0.000033
conv,3,32,0.000034
conv,4,32,0.000034
conv,5,32,0.000031
conv,1,32,0.000035
conv,2,32,0.000038
conv,3,32,0.000038
conv,4,32,0.000035
conv,5,32,0.000038
conv,1,32,0.000037
conv,2,32,0.000037
conv,3,32,0.000035
conv,4,32,0.000038
conv,5,32,0.00004
conv,1,32,0.00004
conv,2,32,0.000036
conv,3,32,0.000039
conv,4,32,0.000036
conv,5,32,0.000038
conv,1,64,0.00027
conv,2,64,0.000252
conv,3,64,0.000252
conv,4,64,0.000258
conv,1,64,0.000258
conv,2,64,0.000252
conv,3,64,0.000256
conv,4,64,0.000256
conv,5,64,0.000257
conv,1,64,0.000226
conv,2,64,0.00024
conv,3,64,0.000226
conv,4,64,0.000226
conv,5,64,0.000226
conv,1,64,0.000227
conv,2,64,0.000237
conv,3,64,0.000229
conv,4,64,0.000227
conv,5,64,0.000227
conv,1,64,0.00023
conv,2,64,0.000227
conv,3,64,0.000227
conv,4,64,0.000229
conv,5,64,0.000227
conv,1,64,0.000256
conv,1,128,0.00196
conv,2,128,0.001946
conv,3,128,0.001956
conv,4,128,0.001938
conv,5,128,0.001947
conv,1,128,0.001943
conv,2,128,0.001954
conv,3,128,0.002115
conv,4,128,0.002131
conv,5,128,0.002041
conv,1,128,0.002136
conv,2,128,0.002116
conv,3,128,0.002111
conv,4,128,0.002101
conv,5,128,0.002053
conv,1,128,0.002038
conv,2,128,0.002017
conv,3,128,0.002043
conv,4,128,0.002035
conv,5,128,0.002113
conv,1,128,0.001953
conv,2,128,0.001936
conv,3,128,0.001938
conv,4,128,0.001942
conv,5,128,0.001956
conv,1,256,0.017269
conv,2,256,0.015933
conv,3,256,0.020116
conv,4,256,0.018239
conv,5,256,0.018267
conv,1,256,0.01818
conv,2,256,0.017493
conv,3,256,0.018141
conv,4,256,0.018143
conv,5,256,0.013021
conv,1,256,0.018144
conv,2,256,0.018134
conv,3,256,0.017957
conv,4,256,0.018066
conv,5,256,0.017971
conv,1,256,0.018134
conv,2,256,0.018287
conv,3,256,0.015905
conv,4,256,0.015046
conv,5,256,0.017699
conv,1,256,0.015787
conv,2,256,0.014114
conv,3,256,0.015937
conv,4,256,0.014186
conv,5,256,0.018095
conv,1,512,0.134373
conv,2,512,0.135899
conv,3,512,0.131579
conv,4,512,0.130958
strassen,1,1024,70.320692
strassen,2,1024,70.128747
strassen,3,1024,70.461802
strassen,4,1024,70.436408
strassen,1,32,0.00462
strassen,2,32,0.004553
strassen,3,32,0.004587
strassen,4,32,0.006215
strassen,5,32,0.006294
strassen,1,32,0.006052
strassen,2,32,0.005724
strassen,3,32,0.005955
strassen,4,32,0.00601
strassen,5,32,0.006242
strassen,1,32,0.006051
strassen,2,32,0.005983
strassen,3,32,0.005952
strassen,4,32,0.006027
strassen,5,32,0.005962
strassen,1,32,0.006033
strassen,2,32,0.00626
strassen,3,32,0.006391
strassen,4,32,0.006212
strassen,5,32,0.006094
strassen,1,32,0.005962
strassen,2,32,0.005897
strassen,3,32,0.005978
strassen,4,32,0.005998
strassen,5,32,0.006057
strassen,1,64,0.03955
strassen,2,64,0.040035
strassen,3,64,0.037431
strassen,4,64,0.041345
strassen,5,64,0.03672
strassen,1,64,0.032245
strassen,2,64,0.038468
strassen,3,64,0.036012
strassen,4,64,0.034621
strassen,5,64,0.039345
strassen,1,64,0.034048
