algo,taille,serie,temps
glouton,1000,0,0.017181
glouton,1000,1,0.017635
glouton,1000,2,0.017284
glouton,1000,3,0.018074
glouton,1000,4,0.017892
glouton,10000,0,1.922647
glouton,10000,1,1.860964
glouton,10000,2,1.846821
glouton,10000,3,1.839431
glouton,10000,4,1.860397
glouton,5000,0,0.468349
glouton,5000,1,0.471396
glouton,5000,2,0.464942
glouton,5000,3,0.456214
glouton,5000,4,0.471608
glouton,50000,0,48.603788
glouton,50000,1,48.911264
glouton,50000,2,49.384698
glouton,50000,3,48.885048
glouton,50000,4,48.744544
approx,1000,0,0.023710
approx,1000,1,0.023114
approx,1000,2,0.024679
approx,1000,3,0.024115
approx,1000,4,0.024529
approx,10000,0,2.541932
approx,10000,1,2.509875
approx,10000,2,2.526524
approx,10000,3,2.520713
approx,10000,4,2.514183
approx,5000,0,0.613254
approx,5000,1,0.612086
approx,5000,2,0.619909
approx,5000,3,0.617639
approx,5000,4,0.615375
approx,50000,0,61.759419
approx,50000,1,61.666672
approx,50000,2,61.146583
approx,50000,3,60.654437
approx,50000,4,60.275510

