algo,taille,serie,temps
approx1,1000,0,0.023710
approx1,1000,1,0.023114
approx1,1000,2,0.024679
approx1,1000,3,0.024115
approx1,1000,4,0.024529
approx1,10000,0,2.541932
approx1,10000,1,2.509875
approx1,10000,2,2.526524
approx1,10000,3,2.520713
approx1,10000,4,2.514183
approx1,5000,0,0.613254
approx1,5000,1,0.612086
approx1,5000,2,0.619909
approx1,5000,3,0.617639
approx1,5000,4,0.615375
approx1,50000,0,61.759419
approx1,50000,1,61.666672
approx1,50000,2,61.146583
approx1,50000,3,60.654437
approx1,50000,4,60.275510
approx2,1000,0,0.043310
approx2,1000,1,0.040469
approx2,1000,2,0.040935
approx2,1000,3,0.040650
approx2,1000,4,0.040993
approx2,10000,0,4.077549
approx2,10000,1,4.037578
approx2,10000,2,3.980959
approx2,10000,3,4.041392
approx2,10000,4,3.991737
approx2,5000,0,1.024857
approx2,5000,1,1.022615
approx2,5000,2,1.049210
approx2,5000,3,1.029257
approx2,5000,4,1.095641
approx2,50000,0,109.199468
approx2,50000,1,102.462739
approx2,50000,2,101.687894
approx2,50000,3,104.922911
approx2,50000,4,105.877806

