algo,taille,serie,temps
glouton1,1000,0,0.017181
glouton1,1000,1,0.017635
glouton1,1000,2,0.017284
glouton1,1000,3,0.017574
glouton1,1000,4,0.017892
glouton1,10000,0,1.922647
glouton1,10000,1,1.860964
glouton1,10000,2,1.846821
glouton1,10000,3,1.839431
glouton1,10000,4,1.860397
glouton1,5000,0,0.468349
glouton1,5000,1,0.471396
glouton1,5000,2,0.464942
glouton1,5000,3,0.466214
glouton1,5000,4,0.471608
glouton1,50000,0,48.603788
glouton1,50000,1,48.911264
glouton1,50000,2,48.84698
glouton1,50000,3,48.885048
glouton1,50000,4,48.744544
glouton2,1000,0,0.016761
glouton2,1000,1,0.016982
glouton2,1000,2,0.017067
glouton2,1000,3,0.017034
glouton2,1000,4,0.017236
glouton2,10000,0,1.942317
glouton2,10000,1,1.964593
glouton2,10000,2,1.932928
glouton2,10000,3,1.928350
glouton2,10000,4,1.929081
glouton2,100000,0,196.777632
glouton2,100000,1,195.807016
glouton2,100000,2,196.929174
glouton2,100000,3,195.841085
glouton2,100000,4,195.589838
glouton2,5000,0,0.467764
glouton2,5000,1,0.459413
glouton2,5000,2,0.455820
glouton2,5000,3,0.463092
glouton2,5000,4,0.454726
glouton2,50000,0,48.751024
glouton2,50000,1,48.767383
glouton2,50000,2,48.909411
glouton2,50000,3,48.544238
glouton2,50000,4,48.939205
