algo,taille,serie,temps
progdyn,10,0,0.000777
progdyn,10,1,0.000279
progdyn,10,2,0.000682
progdyn,10,3,0.000217
progdyn,10,4,0.000215
progdyn,15,0,0.016949
progdyn,15,1,0.014343
progdyn,15,2,0.014349
progdyn,15,3,0.014058
progdyn,15,4,0.014593
progdyn,20,0,1.043519
progdyn,20,1,1.019446
progdyn,20,2,1.028344
progdyn,20,3,1.022441
progdyn,20,4,0.999779
progdyn,25,0,73.325160
progdyn,25,1,74.852914
progdyn,25,2,75.178233
progdyn,25,3,72.943370
progdyn,25,4,72.635791
progdyn,5,0,0.000004
progdyn,5,1,0.000004
progdyn,5,2,0.000004
progdyn,5,3,0.000003
progdyn,5,4,0.000003
